Year,State,Units Reimbursed,Number of Prescriptions,Total Amount Reimbursed,Medicaid Amount Reimbursed,Non Medicaid Amount Reimbursed
2005,VA,6499621.0600000005,93122.0,8315403.600000001,1212053.2000000002,11555.5
2005,VT,581531.008,8710.0,714219.5900000001,0.0,0.0
2005,WA,14709182.5,198804.0,11931547.11,1540160.0999999999,176.04
2005,WI,12286770.0,157095.0,15641570.31,0.0,0.0
2005,WV,5087454.45,67982.0,5126382.04,4671816.48,38073.689999999995
2005,WY,491208.0,8390.0,391882.85,0.0,0.0
2005,XX,385927069.353,6622866.0,644787454.26,204106492.29000002,1176881.81
2006,AK,977070.5,17108.0,1304461.46,529295.1900000001,3765.46
2006,AL,1229354.0,29971.0,1973355.19,0.0,0.0
2006,AR,1655244.46,27159.0,1133469.27,6789.68,0.0
2006,CA,12116065.629999999,131332.0,31501068.12,28118128.89,0.0
2006,CO,3740597.0,73260.0,3333877.79,1532045.48,7052.76
2006,CT,2544901.001,39366.0,3506483.9699999997,247451.08999999997,611.0600000000001
2006,DC,717233.0,12835.0,1049772.8900000001,0.0,0.0
2006,DE,3220426.0,49825.0,2223084.8499999996,0.0,0.0
2006,FL,11383590.0,165431.0,8746179.64,6972901.550000001,37063.73
2006,GA,4608047.0,93162.0,3618696.8999999994,1670950.4100000001,17313.0
2006,HI,1025343.0,10739.0,1197851.85,233650.88,0.0
2006,IA,1927382.903,28132.0,2280410.97,337653.52,9675.810000000001
2006,ID,608656.0,9773.0,632902.09,591697.26,4718.0
2006,IL,3082611.7,45154.0,4948077.17,0.0,0.0
2006,IN,3171912.42,41243.0,4126260.25,750817.29,32093.25
2006,KS,1636867.0,23589.0,1952057.95,233533.63,0.0
2006,KY,3125074.65,59258.0,3090611.3499999996,2458232.86,16836.93
2006,LA,3183617.0,58782.0,6346783.21,1424030.54,17857.73
2006,MA,11186639.0,171855.0,6952981.35,111573.91,0.0
2006,MD,1975609.19,39785.0,1418562.49,39971.65,0.0
2006,ME,5726269.511,68823.0,1677676.4500000002,510203.5,16005.760000000002
2006,MI,1067705.0,12389.0,1310565.3399999999,1200213.69,57428.89
2006,MN,2448194.0,36414.0,2376242.7199999997,1327848.8599999999,2279.05
2006,MO,7982286.25,102933.0,11754975.649999999,6995.22,897.77
2006,MS,743481.0,21084.0,658371.59,39078.45,686.26
2006,MT,1086881.0,15903.0,1285797.0,1250227.89,35437.08
2006,NC,15971658.592,240439.0,13384871.71,3825901.45,17418.68
2006,ND,367605.0,6387.0,292168.13,1409.8600000000001,46.42
2006,NE,1271134.0,20402.0,1817325.1,0.0,0.0
2006,NH,1617848.0,30955.0,1917167.69,1667643.5899999999,26336.41
2006,NJ,6469033.8,100026.0,10959250.92,2451284.25,0.0
2006,NM,127392.0,2402.0,48178.590000000004,0.0,0.0
2006,NV,1944845.44,21364.0,3079349.5700000003,1239808.56,5894.07
2006,NY,17545645.258,180099.0,34029878.99,22176216.32,90304.73000000001
2006,OH,20287037.0,316734.0,15521375.380000003,10112065.110000001,0.0
2006,OK,2986143.0,49995.0,3830475.3599999994,138147.25999999998,0.0
2006,OR,2181241.0,27986.0,1826339.1099999999,488978.74,10458.0
2006,PA,6541971.7,97956.0,3534941.1999999997,455759.73,42855.42
2006,RI,869508.0,13348.0,1499336.39,0.0,0.0
2006,SC,4044116.0,70384.0,4015451.1799999997,3500925.76,32784.07
2006,SD,465628.0,7190.0,556759.99,0.0,0.0
2006,TN,8851886.27,2871497.0,285308844.46000004,6234632.75,20586.29
2006,TX,1910902.0,18504.0,5733724.06,3394177.34,12862.44
2006,UT,2663807.81,49447.0,4067525.5400000005,0.0,0.0
2006,VA,2308820.1,36070.0,2582656.85,501755.84,3468.59
2006,VT,562618.0,9692.0,337254.06,0.0,0.0
2006,WA,8983049.0,28080166.0,556164185.12,2923928.77,196.19
2006,WI,5948310.0,74792.0,4642139.6,269143.51999999996,261.0
2006,WV,4298188.545,56037.0,3691380.88,1471648.3199999998,10103.349999999999
2006,WY,377550.0,6520.0,239726.0,2866.8,0.0
2006,XX,212637899.134,33793295.0,1071754838.79,110641882.62,540765.58
2007,AK,936537.0,17024.0,1281212.04,923488.6699999999,2664.57
2007,AL,1030519.0,25084.0,1614062.5599999998,11148.4,0.0
2007,AR,1866345.3539999998,29086.0,1272595.43,343767.35,13222.93
2007,CA,13588484.0,152133.0,37510788.31999999,36340664.61,116210.16
2007,CO,4645111.5,77408.0,4228005.73,4111394.1500000004,11777.57
2007,CT,2915367.0,45661.0,4428785.67,2359122.06,6229.91
2007,DC,687156.0,12785.0,810492.59,143409.21000000002,3004.01
2007,DE,4814528.4,70937.0,3761341.25,1195669.12,38284.61
2007,FL,11888682.0,165883.0,7760579.640000001,7198811.03,64138.83
2007,GA,3866185.0,63733.0,2983978.09,1603770.06,21717.4
2007,HI,1060149.5,10777.0,1386311.53,885085.8800000001,56.68
2007,IA,1918885.5,29294.0,1870662.46,1216735.17,43920.64
2007,ID,718810.0,10841.0,779145.87,773674.3400000001,4845.96
2007,IL,2497720.0,34303.0,2347148.45,383466.73,2083.4700000000003
2007,IN,3496290.0,43015.0,5293514.84,4679226.8,118715.0
2007,KS,1669049.4,21716.0,2168260.8,1097604.27,19001.3
2007,KY,3588634.5,64997.0,3727031.8600000003,3297622.7800000003,20510.879999999997
2007,LA,3236516.0,60592.0,6382068.779999999,4431709.23,18420.489999999998
2007,MA,11587932.0,181376.0,7391277.9,2695517.1,65999.78
2007,MD,1127220.5,22605.0,677184.7999999999,536649.64,3123.5600000000004
2007,ME,6130178.0,75902.0,2275777.66,1854079.76,51431.270000000004
2007,MI,1135247.0,13027.0,1379857.18,1234440.47,116156.46
2007,MN,2169394.111,32676.0,1354540.0,932022.1,23373.43
2007,MO,6261904.5,80115.0,9053865.450000001,0.0,0.0
2007,MS,717189.0,21350.0,577210.0399999999,236005.28000000003,6002.23
2007,MT,1134140.111,16181.0,1377732.23,1339158.09,38574.14
2007,NC,17096200.66,252313.0,13532822.56,4890489.8,103689.31999999999
2007,ND,352029.0,6395.0,269231.5,136250.94,2444.6000000000004
2007,NE,1203363.0,20379.0,1457359.17,360345.71,1177.48
2007,NH,1833099.0,34268.0,2200798.2300000004,1964756.8199999998,20308.67
2007,NJ,6099819.0,93239.0,9822985.36,3858164.1500000004,41634.57000000001
2007,NM,111411.0,2180.0,44489.03999999999,16238.469999999998,12.759999999999998
2007,NV,2158843.0,22116.0,3228206.41,1349412.72,5450.040000000001
2007,NY,19746778.696000002,216263.0,32632034.85,15972331.739999998,40354.7
2007,OH,9910119.0,158008.0,8350592.07,5639237.359999999,2126.75
2007,OK,3419070.0,55291.0,5517364.02,2597881.5300000003,5261.959999999999
2007,OR,2341402.0,29383.0,2148304.45,1370371.82,42298.0
2007,PA,6039144.62,88202.0,2543198.87,1630654.46,126590.96999999999
2007,RI,1041113.0,15169.0,1491346.65,34417.81999999999,1215.89
2007,SC,4104398.8,69179.0,3699305.26,3488823.5700000003,21673.15
2007,SD,249553.0,24092023.0,189168999.91,168642.21000000002,356.24
2007,TN,8929437.5,144252.0,9019127.1,6111905.85,24573.65
2007,TX,1954283.0,18816.0,6381668.68,4784907.140000001,16655.489999999998
2007,UT,2918931.0,50742.0,4740939.449999999,1282018.4100000001,1159.94
2007,VA,2331279.06,35517.0,2556511.1599999997,1412081.93,35044.96
2007,VT,282866.0,4173.0,347016.72000000003,206193.24000000002,409.07
2007,WA,9878594.07,134845.0,6203743.15,4312077.699999999,9578.13
2007,WI,6242330.5,79399.0,6539119.78,2000435.72,55757.229999999996
2007,WV,4619126.01,58928.0,3838377.11,3154610.06,22989.570000000003
2007,WY,292408.0,5272.0,157248.33,14839.920000000002,0.0
