Year,Quarter,State,Units Reimbursed,Number of Prescriptions,Total Amount Reimbursed,Medicaid Amount Reimbursed,Non Medicaid Amount Reimbursed
2001,3,PA,1841429.0,31766.0,3085486.4499999997,63703.57,0.0
2001,3,RI,276371.0,4244.0,462547.01,0.0,0.0
2001,3,SC,806384.0,14537.0,607686.43,339075.79,0.0
2001,3,SD,67585.0,1310.0,98886.47,0.0,0.0
2001,3,TN,1223888.0,19526.0,2091538.0500000003,0.0,0.0
2001,3,TX,766046.0,7478.0,1956424.2300000004,14539.14,0.0
2001,3,UT,324117.0,6631.0,517228.21,0.0,0.0
2001,3,VA,1004403.0,16172.0,1441479.05,0.0,0.0
2001,3,WA,2230815.0300000003,33497.0,3521288.74,0.0,0.0
2001,3,WI,1118011.0,17071.0,1782711.6899999997,0.0,0.0
2001,3,WV,871569.267,15418.0,1336750.37,0.0,0.0
2001,3,WY,68153.0,1340.0,85464.96,0.0,0.0
2001,3,XX,47552866.796,726498.0,81799205.41,3931720.56,40362.130000000005
2001,4,AK,644628.0,8399.0,1312384.99,0.0,0.0
2001,4,AL,561579.0,12208.0,1301282.19,0.0,0.0
2001,4,AR,400305.0,5839.0,684640.4400000001,0.0,0.0
2001,4,CA,3498756.0,28342.0,8649954.76,8429635.969999999,0.0
2001,4,CO,575628.0,10929.0,844195.52,0.0,0.0
2001,4,CT,1138087.0,17892.0,1806328.2,0.0,0.0
2001,4,DC,111046.0,2145.0,170535.92999999996,0.0,0.0
2001,4,FL,3635789.011,57920.0,8430510.36,0.0,0.0
2001,4,GA,1699406.0,33050.0,3151018.41,0.0,0.0
2001,4,HI,284377.0,3330.0,635544.51,0.0,0.0
2001,4,IA,414800.0,5971.0,687241.8600000001,0.0,0.0
2001,4,ID,239125.0,3915.0,544962.97,0.0,0.0
2001,4,IL,542438.0,8142.0,1156813.0199999998,5637.35,0.0
2001,4,IN,1180256.0,18151.0,2524583.9099999997,2269172.9699999997,56034.76
2001,4,KS,341178.0,5385.0,710230.9,0.0,0.0
2001,4,KY,488140.0,7377.0,984844.1399999999,364429.77,0.0
2001,4,LA,742732.0,14072.0,1365921.55,0.0,0.0
2001,4,MA,3504212.0,50344.0,5278360.200000001,0.0,0.0
2001,4,MD,670247.0,13373.0,919393.31,0.0,0.0
2001,4,ME,1162920.0,18113.0,1324239.75,0.0,0.0
2001,4,MI,847166.0,10906.0,2049053.4400000002,0.0,0.0
2001,4,MN,510308.0,8455.0,690032.3600000001,0.0,0.0
2001,4,MO,1524811.0,21579.0,3178910.48,0.0,0.0
2001,4,MS,662076.009,12427.0,1593325.74,1435414.73,0.0
2001,4,MT,288602.04099999997,4731.0,463578.79000000004,0.0,0.0
2001,4,NC,3402667.0,54351.0,4721262.630000001,0.0,0.0
2001,4,ND,95032.0,1677.0,142462.22,0.0,0.0
2001,4,NE,319790.0,5434.0,474563.4,0.0,0.0
2001,4,NH,330265.0,6212.0,461357.73000000004,425639.04000000004,0.0
2001,4,NJ,1359789.0,22673.0,2138508.88,0.0,0.0
2001,4,NM,141127.0,1738.0,268998.36,0.0,0.0
2001,4,NV,275310.0,3852.0,661211.18,661211.18,0.0
2001,4,NY,3083337.0,28357.0,3981518.05,0.0,0.0
2001,4,OH,2833396.0,51963.0,4731297.0600000005,0.0,0.0
2001,4,OK,440853.036,5996.0,860101.42,0.0,0.0
2001,4,OR,898476.0,13133.0,1298747.69,0.0,0.0
2001,4,PA,1909553.0,32555.0,3109319.45,0.0,0.0
2001,4,RI,329356.0,5088.0,535027.93,0.0,0.0
2001,4,SC,978491.0,16604.0,1068880.08,994780.7899999999,7014.199999999999
2001,4,SD,71195.0,1414.0,95513.74999999999,0.0,0.0
2001,4,TN,1422905.0,21782.0,2553572.74,0.0,0.0
2001,4,TX,852735.0,8393.0,2223731.63,0.0,0.0
2001,4,UT,372581.0,7357.0,603708.4,0.0,0.0
2001,4,VA,1069599.0,16761.0,1588377.5100000002,0.0,0.0
2001,4,VT,82061.03,1275.0,73108.02999999998,0.0,0.0
2001,4,WA,2398836.0,37802.0,3841467.46,0.0,0.0
2001,4,WI,1190752.0,17273.0,1938290.24,0.0,0.0
2001,4,WV,637750.41,11225.0,1000145.8499999999,0.0,0.0
2001,4,WY,35487.0,744.0,42811.23,0.0,0.0
2001,4,XX,50520761.127,760567.0,89190565.03999999,14602724.880000003,63049.55999999998
2002,1,AK,700298.0,9349.0,1416681.9700000002,0.0,0.0
2002,1,AL,603943.0,12915.0,1418706.93,0.0,0.0
2002,1,AR,414646.0,6089.0,720775.9299999999,0.0,0.0
2002,1,CA,3176224.0,26688.0,8148010.69,228201.24,0.0
2002,1,CO,588773.0,11415.0,886485.88,0.0,0.0
2002,1,CT,1136723.676,18035.0,1861776.04,0.0,0.0
2002,1,DC,132279.0,2625.0,227530.98,0.0,0.0
2002,1,DE,575544.0,9340.0,644175.9999999999,0.0,0.0
2002,1,FL,3708242.6999999997,58127.0,8527984.25,0.0,0.0
2002,1,GA,1419092.0,28408.0,2443858.34,0.0,0.0
2002,1,HI,313894.0,3558.0,729190.62,24797.649999999998,0.0
2002,1,IA,393153.0,5671.0,646316.2299999999,0.0,0.0
2002,1,ID,221728.8,3484.0,487864.35,478309.37,1366.71
2002,1,IL,572863.0,8437.0,1229094.4100000001,3823.88,0.0
