Year,Prscrbr_Geo_Cd,Prscrbr_Geo_Desc,Tot_Prscrbrs,Tot_Clms,Tot_30day_Fills,Tot_Drug_Cst,Tot_Benes,GE65_Tot_Clms,GE65_Tot_30day_Fills,GE65_Tot_Drug_Cst,GE65_Tot_Benes,LIS_Bene_Cst_Shr,NonLIS_Bene_Cst_Shr
2014,27,Minnesota,25600.0,330924.0,335003.3,27007989.15,89989.0,183906.0,186806.9,11807498.48,60500.0,205332.74,2618809.83
2014,28,Mississippi,7491.0,148507.0,149488.60000000003,13568122.480000002,39650.0,61432.0,61963.5,4792884.5600000005,20068.0,184729.49,1413519.72
2014,29,Missouri,21451.0,434631.0,436428.39999999997,52645450.230000004,104798.0,184406.0,185485.3,16411512.41,56430.0,430728.16,4097066.75
2014,30,Montana,4417.0,55501.0,56354.3,5453634.760000001,13950.0,29049.0,29658.799999999996,2070389.05,8859.0,54243.07,495645.16
2014,31,Nebraska,6848.0,74347.0,75190.40000000001,7566972.799999999,20522.0,38186.0,38676.700000000004,2678887.28,12520.0,56806.049999999996,689245.78
2014,32,Nevada,9085.0,182195.0,183936.4,16586509.299999999,45991.0,95206.0,96391.2,7092176.380000001,28555.0,234809.66,2179043.67
2014,33,New Hampshire,7616.0,123515.0,123677.00000000001,10784256.14,29132.0,50335.0,50412.0,3472089.07,16211.0,136406.97,923826.23
2014,34,New Jersey,36655.0,661279.0,661879.1,74238773.64000002,176672.0,347597.0,347909.4,28346212.560000002,117301.0,470849.58999999997,5405583.18
2014,35,New Mexico,7834.0,144432.0,146265.40000000002,12635910.219999999,35453.0,70268.0,71460.5,5006543.17,21271.0,165182.81,940766.25
2014,36,New York,81036.0,977745.0,984032.7999999999,97360366.72000001,307359.0,548216.0,552111.3,39126118.54999999,207274.0,753465.51,7161349.09
2014,37,North Carolina,44515.0,1030138.0,1038945.9,90736659.08999999,243581.0,477419.0,482766.89999999997,34375335.27,140312.0,1122235.6,7991595.04
2014,38,North Dakota,2916.0,31508.0,31891.0,2314042.2199999997,9523.0,18375.0,18660.7,1027208.7599999999,6447.0,23714.36,285065.03
2014,39,Ohio,50587.0,1031727.0,1043812.3,78846384.02000001,252824.0,541269.0,549812.5,32880336.279999997,158901.0,862689.59,7383963.720000001
2014,40,Oklahoma,10613.0,225800.0,228039.6,31835021.69,53488.0,100508.0,101771.4,11433105.12,29523.0,270172.17,2611010.6
2014,41,Oregon,20775.0,353542.0,359357.69999999995,27428448.879999995,87069.0,207923.0,212175.50000000003,13154559.22,59279.0,280909.86000000004,3085455.58
2014,42,Pennsylvania,66925.0,1198366.0,1211026.9,114362461.27,310802.0,598499.0,606495.9,42517192.51,192538.0,997667.53,9312460.129999997
2014,44,Rhode Island,5832.0,77097.0,77183.59999999999,7915219.159999999,21355.0,37538.0,37581.6,2768235.9299999997,12386.0,85989.68,570951.71
2014,45,South Carolina,15749.0,353290.0,353706.8,33940909.84,98506.0,162993.0,163200.09999999998,12686772.3,56320.0,379748.76999999996,3304158.72
2014,46,South Dakota,3055.0,30238.0,30593.1,3320168.13,8525.0,16154.0,16393.5,1243569.5,5453.0,30430.320000000003,326787.43
2014,47,Tennessee,28017.0,746912.0,747610.8,70617605.97999999,168711.0,309120.0,309448.69999999995,24003654.860000003,87437.0,1017707.96,6156129.3
2014,48,Texas,17058.0,241545.0,244842.9,45001061.489999995,61091.0,104469.0,106259.4,16085185.26,31749.0,349471.36,3813808.21
2014,49,Utah,9395.0,147423.0,147632.6,14302277.4,36644.0,75727.0,75831.0,5765515.120000001,23344.0,126638.64,1792375.58
2014,50,Vermont,3104.0,46511.0,46842.3,4446777.66,10435.0,19294.0,19524.8,1349733.81,5864.0,34861.52,255278.39
2014,51,Virginia,29344.0,461856.0,467289.3000000001,36964304.32000001,125925.0,223601.0,227070.09999999998,13798964.229999999,75958.0,456172.4300000001,4114663.6900000004
2014,53,Washington,33016.0,479993.0,487143.8,34524712.68,122364.0,264173.0,269191.9,15180071.0,79396.0,371854.15,4455371.47
2014,54,West Virginia,6546.0,163087.0,164180.10000000003,13878173.99,37357.0,75584.0,76261.20000000001,5414809.09,20143.0,196074.28999999998,1412201.3599999999
2014,55,Wisconsin,24367.0,402866.0,406529.8,41519358.349999994,89521.0,187242.0,189573.90000000002,13528712.34,52320.0,309327.67,3375998.33
2014,56,Wyoming,2036.0,25579.0,26029.3,2547294.75,6880.0,13251.0,13575.2,1063350.58,4186.0,26692.01,291131.57
2014,66,Guam,99.0,445.0,445.5,22463.67,196.0,250.0,250.0,8217.45,131.0,1032.05,6407.389999999999
2014,69,Northern Mariana Islands,13.0,73.0,74.0,3329.95,31.0,51.0,52.0,2434.08,20.0,156.52,1901.99
2014,72,Puerto Rico,7032.0,94662.0,94918.2,2469403.76,32620.0,37053.0,37139.5,828359.3899999999,17224.0,9042.33,169791.28999999998
2014,78,Virgin Islands,126.0,828.0,832.4,56938.3,447.0,609.0,613.2,31840.24,306.0,144.03,12522.15
2014,9A,Armed Forces Central/South America,7.0,46.0,46.0,444.45,46.0,26.0,26.0,223.68,26.0,8.75,67.93
